question,solution
" write a python program uses else with for loop
","seq = ""abcde""
for k in seq:
    if k == ""f"":
        break
else:
    print(""f Not Found!"")


"
" write a recursive python function that performs merge sort on the given list or tuple or string and returns the new sorted sequence
","def sort_and_merge(l1, l2):
    new_list = []
    i = 0
    j = 0
    l1_len = len(l1)
    l2_len = len(l2)
    while (i <= l1_len-1) and (j <= l2_len-1):
        if l1[i] < l2[j]:
            new_list.append(l1[i])
            i +=1
        else:
            new_list.append(l2[j])
            j +=1
    if i <= (l1_len-1):
        new_list += l1[i:]
    if j <= (l2_len-1):
        new_list += l2[j:]
    return new_list

def recursive_merge_sort(list_to_be_sorted):
    final_list = []
    first = 0
    last = len(list_to_be_sorted)
    if last <= 1:
        final_list.extend( list_to_be_sorted )
    else:
        mid = last // 2
        l1 = recursive_merge_sort( list_to_be_sorted[:mid] )
        l2 = recursive_merge_sort( list_to_be_sorted[mid:] )
        final_list.extend( sort_and_merge( l1, l2 ) )
    return final_list

"
" Write a function to return the mean of numbers in a list
","def cal_mean(num_list:list)->float:
    if num_list:
        return sum(num_list)/len(num_list)
    else:
        return None

"
" Write a function to return the median of numbers in a list
","def cal_median(num_list:list)->float:
    if num_list:
        if len(num_list)%2 != 0:
            return sorted(num_list)[int(len(num_list)/2) - 1]
        else:
            return (sorted(num_list)[int(len(num_list)/2) - 1] + sorted(num_list)[int(len(num_list)/2)])/2
    else:
        return None

"
" Write a function to return the area of triangle by heros formula
","def cal_triangle_area(a:float,b:float,c:float)->float:
    if a or b or c:
        s = (a+b+c)/2
        if s>a and s>b and s>c:
            area = (s*(s-a)*(s-b)*(s-c))**(1/2)
            return round(area,2)
        else:
            return None
    return None

"
" Write a function to return the area of a equilateral triangle
","def cal_eq_triangle_area(a:float)->float:
    if a:
        return (3**(1/2))*(a**2)/4
    else:
        return None

"
" Write a function to return the area of a right angle triangle
","
def cal_rt_triangle_area(base:float,height:float)->float:
    if base and height:
        return (base*height)/2
    else:
        return None

"
" Write a function to return the cartisian distance of a point from origin
","def cal_dist_from_orign(x:float,y:float)->float:
    return (x**2+y**2)**(1/2)

"
" Write a function to return the cartisian distance between two points
","def cal_cart_distance(x1:float,y1:float,x2:float,y2:float)->float:
    return ((x1-x2)**2+(y1-y2)**2)**(1/2)

"
" Write a function to return the type roots of a quadratic equation ax**2 + bx + c = 0
","def root_type(a:float,b:float,c:float):
    if b**2-4*a*c >= 0:
        return 'real'
    else:
        return 'imaginary'

"
" Write a function to return the sum of the roots of a quadratic equation ax**2 + bx + c = 0
","def sum_of_roots(a:float,c:float):
    if a:
        return c/a
    else:
        return None

"
" Write a function to return the product of the roots of a quadratic equation ax**2 + bx + c = 0
","def prod_of_roots(a:float,b:float):
    if a:
        return -b/a
    else:
        return None

"
" Write a function to return the real of the roots of a quadratic equation else return None ax**2 + bx + c = 0
","def roots_of_qad_eq(a:float,b:float,c:float):
    d = b**2-4*a*c
    if d >= 0:
        return (-b+(d)**(1/2))/2*a,(-b-(d)**(1/2))/2*a
    else:
        return None

"
" Write a function to return the profit or loss based on cost price and selling price
","def find_profit_or_loss(cp,sp):
    if cp > sp:
        return 'loss', cp-sp
    elif cp < sp:
        return 'profit', sp-cp
    else:
        return 'no profit or loss', 0

"
" Write a function to return the area of a rectangle
","def cal_area_rect(length, breadth):
    return length*breadth

"
" Write a function to return the area of a square
","def cal_area_square(side):
    return side**2

"
" Write a function to return the area of a rhombus with diagonals q1 and q2
","def cal_area_rhombus(q1,q2):
    return (q1*q2)/2

"
" Write a function to return the area of a trapezium with base a base b and height h between parallel sides
","def cal_area_trapezium(a,b,h):
    return h*(a+b)/2

"
" Write a function to return the area of a circle of raidus r
","def cal_area_circle(r):
    pi = 3.14
    return pi*r**2

"
" Write a function to return the circumference of a circle
","def cal_circumference(r):
    pi = 3.14
    return 2*pi*r

"
" Write a function to return the perimeter of a rectangle
","def cal_perimeter_rect(length, bredth):
    return 2*(length+bredth)

"
" Write a function to return the perimeter of a triangle
","def cal_perimeter_triangle(s1,s2,s3):
    return s1+s2+s3

"
" Write a function to return the perimeter of a square
","def cal_perimeter_square(side):
    return 4*side

"
" Write a function to return the perimeter of an equilateral triangle
","def cal_perimeter_eq_triangle(a):
    return 3*a

"
" Write a function to return the perimeter of a isoscales triangle
","def cal_perimeter_iso_triangle(s1,s2):
    return 2*s1+s2

"
" Write a function to return the area of an ellipse
","def cal_area_ellipse(minor, major):
    pi = 3.14
    return pi*(minor*major)

"
" Write a function to return the lateral surface area of a cylinder
","def cal_cylinder_lat_surf_area(height,radius):
    pi=3.14
    return 2*pi*radius*height

"
" Write a function to return the curved surface area of a cone
","def cal_cone_curved_surf_area(slant_height,radius):
    pi=3.14
    return pi*radius*slant_height

"
" Write a function to return the total surface area of a cube of side a
","def cal_surface_area_cube(a):
    return 6*(a**2)

"
" Write a function to return the total surface area of a cuboid of length l, bredth b and height h
","def cal_surface_area_cuboid(l,b,h):
    return 2*(l*b+b*h+h*l)

"
" Write a function to return the surface area of a sphere
","def cal_area_sphere(radius):
    pi = 3.14
    return 4*pi*(radius**2)

"
" Write a function to return the surface area of a hemi-sphere
","def cal_area_hemisphere(radius):
    pi = 3.14
    return 2*pi*(radius**2)

"
" Write a function to return the total surface area of a cylinder
","def cal_cylinder_surf_area(height,radius):
    pi=3.14
    return 2*pi*radius**2*+2*pi*radius*height

"
" Write a function to return the lateral surface area of a cone
","def cal_cone_lateral_surf_area(height,radius):
    pi=3.14
    return pi*radius*(((height**2)+(radius**2))**(1/2))

"
" Write a function to return the volume of a cylinder
","def cal_cylinder_volume(height, radius):
    pi=3.14
    return pi*(radius**2)*height

"
" Write a function to return the volume of a cone
","def cal_cone_volume(height,radius):
    pi=3.14
    return pi*(radius**2)*height/3

"
" Write a function to return the volume of a hemi sphere
","def cal_hemisphere_volume(radius:float)->float:
    pi=3.14
    return (2/3)*pi*(radius**3)

"
" Write a function to return the volume of a sphere
","def cal_sphere_volume(radius:float)->float:
    pi=3.14
    return (4/3)*pi*(radius**3)

"
" Write a function to return the volume of a cuboid
","def cal_cuboid_volume(length:float, breadth:float, height:float)->float:
    return length*breadth*height

"
" Write a function to return the volume of a cube
","def cal_cube_volume(side:float)->float:
    return side**3

"
" Write a function to return the speed of moving object based of distance travelled in given time
","def cal_speed(distance:float,time:float)->float:
    return distance/time

"
" Write a function to return the distance covered by a moving object based on speend and given time
","def cal_distance(time:float,speed:float)->float:
    return time*speed

"
" Write a function to return the time taken by a given of moving object based of distance travelled in given time
","def cal_time(distance:float,speed:float)->float:
    return distance/speed

"
" Write a function to return the torque when a force f is applied at angle thea and distance for axis of rotation to place force applied is r
","def cal_torque(force:float,theta:float,r:float)->float:
    import math
    return force*r*math.sin(theta)

"
" Write a function to return the angualr veolcity based on augualr distance travelled in radian unit and time taken
","def cal_angular_velocity(angular_dist:float,time:float)->float:
    return angular_dist/time

"
" Write a function to calculate the focal length of a lense buy the distance of object and distance of image from lense
","def cal_focal_length_of_lense(u:float,v:float)->float:
    return (u*v)/(u+v)

"
" Write a function to calculate the gravitational force between two objects of mass m1 and m2 and distance of r between them
","def cal_gforce(mass1:float,mass2:float, distance:float)->float:
    g = 6.674*(10)**(-11)
    return (g*mass1*mass2)/(distance**2)

"
" Write a function to calculate the current in the curcit where the resistance is R and voltage is V
","def cal_current(resistance:float, voltage:float)->float:
    return voltage/resistance

"
" Write a function to calculate the total capacitance of capacitors in parallel in a given list
","def cal_total_cap_in_parallel(cap_list:list)->float:
    return sum(cap_list)

"
" Write a function to calculate the total resistance of resistances in parallel in a given list
","def cal_total_res_in_parallel(res_list:list)->float:
    return sum([1/r for r in res_list])

"
" Write a function to calculate the total resistance of resistances in series in a given list
","def cal_total_res_in_series(res_list:list)->float:
    return sum(res_list)

"
" Write a function to calculate the moment of inertia of a ring of mass M and radius R
","def cal_mi_ring(mass:float,radius:float)->float:
    return mass*(radius**2)


"
" Write a function to calculate the moment of inertia of a sphere of mass M and radius R
","def cal_mi_sphere(mass:float,radius:float)->float:
    return (7/5)*mass*(radius**2)


"
" Write a function to calculate the pressure P of ideal gas based on ideal gas equation - Volume V, and Temperatue T are given
","def find_pressure_of_ideal_gas(volume:float, temp:float,n:float)->float:
    r = 8.3145 # gas constant R
    return (n*r*temp)/volume

"
" Write a function to calculate the volume V of ideal gas based on ideal gas equation Pressure P and Tempreature T given
","def find_volume_of_ideal_gas(pressure:float, temp:float,n:float)->float:
    r = 8.3145 # gas constant R
    return (n*r*temp)/pressure

"
" Write a function to calculate the Temprature T of ideal gas based on ideal gas equation Pressure P and Volume V given
","
def find_temp_of_ideal_gas(pressure:float, volume:float,n:float)->float:
    r = 8.3145 # gas constant R
    return (pressure*volume)/n*r

"
" Write a function to calculate the velocity of an object with initial velocity u, time t and acceleration a
","def cal_final_velocity(initial_velocity:float,accelration:float,time:float)->float:
    return initial_velocity + accelration*time

"
" Write a function to calculate the displacement of an object with initial velocity u, time t and acceleration a
","def cal_displacement(initial_velocity:float,accelration:float,time:float)->float:
    return initial_velocity*time + .5*accelration*(time)**2

"
" Write a function to calculate amount of radioactive element left based on initial amount and half life
","def cal_half_life(initail_quatity:float, time_elapsed:float, half_life:float)->float:
    return initail_quatity*((1/2)**(time_elapsed/half_life))

"
" Write a function to calculate the new selling price based on discount percentage
","def cal_sp_after_discount(sp:float,discount:float)->float:
    return sp*(1 - discount/100)

"
" Write a function to calculate the simple interest for principal p, rate r and time in years y
","def get_si(p:float, r:float, t:float)->float:
    return (p*r*t)/100

"
" Write a function to calculate the compound interest for principal p, rate r and time in years y
","def get_ci(p:float, r:float, t:float, n:float)->float:
    return round(p*((1+(r/(n*100)))**(n*t)) - p,2)

"
" Write a function to calculate the energy released by converting mass m in kg to energy
","def cal_energy_by_mass(mass:float)->float:
    c = 300000
    return mass * (c**2)

"
" Write a function to calculate the kinetic energy of an object of mass m and velocity v
","def cal_ke(mass:float,velocity:float)->float:
    return (mass*(velocity)**2)/2

"
" Write a function to calculate the potential energy of an object of mass m at height h
","def cal_pe(mass:float,height:float)->float:
    g = 9.8
    return (mass*g*height)

"
" Write a function to calculate the electrostatic force between two charged particles with charge q1 and q2 at a distance d apart
","def cal_electrostatic_force(q1,q2,d):
    k = 9*(10**9)
    return (k*q1*q2)/(d**2)

"
" Write a function to calculate the density given mass and volume
","def cal_density(mass,volume):
    return (mass/volume)

"
" Write a function to convert the temprature celsius 'c' to fahrenheit 'f' or fahrenheit to celsius
","def temp_converter(temp,temp_given_in = 'f'):
    # Return the converted temprature
    if temp_given_in.lower() == 'f': # Convert to C
        return (temp - 32) * (5/9)
    else: # Convert to F
        return (temp * 9/5) + 32



"
"python code to merge dictionaries
","def merge1():
    test_list1 = [{""a"": 1, ""b"": 4}, {""c"": 10, ""d"": 15},
                  {""f"": ""gfg""}]
    test_list2 = [{""e"": 6}, {""f"": 3, ""fg"": 10, ""h"": 1},
                  {""i"": 10}]
    print(""The original list 1 is : "" + str(test_list1))
    print(""The original list 2 is : "" + str(test_list2))
    for idx in range(0, len(test_list1)):
        id_keys = list(test_list1[idx].keys())
        for key in test_list2[idx]:

            if key not in id_keys:
                test_list1[idx][key] = test_list2[idx][key]

    print(""The Merged Dictionary list : "" + str(test_list1))



"
"python program for vertical concatenating of mqatrix
","def vertical_concatenation():
    test_list = [[""this"",""is""], [""program"", ""for""], [""vertical"",""concatenation""]]
    print(""The original list : "" + str(test_list))
    res = []
    N = 0
    while N != len(test_list):
        temp = ''
        for idx in test_list:
            try: temp = temp + idx[N]
            except IndexError: pass
        res.append(temp)
        N = N + 1
    res = [ele for ele in res if ele]
    print(""List after column Concatenation : "" + str(res))
vertical_concatenation()


"
" Python code to Get Kth Column of Matrix
","
def kth_column(test_list=[[4, 5, 6], [8, 1, 10], [7, 12, 5]],k=2):

    print(""The original list is : "" + str(test_list))
    K =k
    res = list(zip(*test_list)[K])
    print(""The Kth column of matrix is : "" + str(res))


"
" python code to print all possible subarrays using recursion
","
def printSubArrays(arr, start, end):
    if end == len(arr):
        return
    elif start > end:
        return printSubArrays(arr, 0, end + 1)
    else:
        print(arr[start:end + 1])
        return printSubArrays(arr, start + 1, end)

arr = [1, 2, 3]
printSubArrays(arr, 0, 0)

"
" Python Program to find sum of nested list using Recursion
","total = 0
def sum_nestedlist(l):
    global total
    for j in range(len(l)):
        if type(l[j]) == list:

            sum_nestedlist(l[j])
        else:
            total += l[j]

sum_nestedlist([[1, 2, 3], [4, [5, 6]], 7])
print(total)

"
"python program to find power of number using recursion
","def power(N, P):
    if (P == 0 or P == 1):
        return N
    else:
        return (N * power(N, P - 1))

print(power(5, 2))


"
" python program to Filter String with substring at specific position
","def f_substring():
    test_list = ['program ', 'to', 'filter', 'for', 'substring']
    print(""The original list is : "" + str(test_list))
    sub_str = 'geeks'
    i, j = 0, 5
    res = list(filter(lambda ele: ele[i: j] == sub_str, test_list))
    print(""Filtered list : "" + str(res))


"
" python code to remove punctuation from the string
","def r_punc():
    test_str = ""end, is best : for ! Nlp ;""
    print(""The original string is : "" + test_str)
    punc = '''!()-[]{};:'""\, <>./?@#$%^&*_~'''
    for ele in test_str:
        if ele in punc:
            test_str = test_str.replace(ele, """")
    print(""The string after punctuation filter : "" + test_str)


htness_4


"
" Python program to implement Gnome Sort
","def gnomeSort(arr, n):
    index = 0
    while index < n:
        if index == 0:
            index = index + 1
        if arr[index] >= arr[index - 1]:
            index = index + 1
        else:
            arr[index], arr[index - 1] = arr[index - 1], arr[index]
            index = index - 1
    return arr
arr = [34, 2, 10, -9]
n = len(arr)
arr = gnomeSort(arr, n)
print(""Sorted seqquence after applying Gnome Sort :"")
for i in arr:
    print(i)


"
" Python program to implement Pigeonhole Sort */
","def pigeonhole_sort(a):
    my_min = min(a)
    my_max = max(a)
    size = my_max - my_min + 1
    holes = [0] * size
    for x in a:
        assert type(x) is int, ""integers only please""
        holes[x - my_min] += 1
    i = 0
    for count in range(size):
        while holes[count] > 0:
            holes[count] -= 1
            a[i] = count + my_min
            i += 1
a = [8, 3, 2, 7, 4, 6, 8]
print(""Sorted order is : "", end="" "")
pigeonhole_sort(a)
for i in range(0, len(a)):
    print(a[i], end="" "")



"
"python program to implement stooge sort
","def stoogesort(arr, l, h):
    if l >= h:
        return
    if arr[l] > arr[h]:
        t = arr[l]
        arr[l] = arr[h]
        arr[h] = t
    if h - l + 1 > 2:
        t = (int)((h - l + 1) / 3)
        stoogesort(arr, l, (h - t))
        stoogesort(arr, l + t, (h))
        stoogesort(arr, l, (h - t))

arr = [2, 4, 5, 3, 1]
n = len(arr)
stoogesort(arr, 0, n - 1)
for i in range(0, n):
    print(arr[i], end= \' \')

"
" Python program to find the  difference between two times
","
def difference(h1, m1, h2, m2):

    t1 = h1 * 60 + m1
    t2 = h2 * 60 + m2
    if (t1 == t2):
        print(""Both are same times"")
        return
    else:
        diff = t2 - t1
    h = (int(diff / 60)) % 24
    m = diff % 60
    print(h, "":"", m)
difference(7, 20, 9, 45)
difference(15, 23, 18, 54)
difference(16, 20, 16, 20)


"
" Python program to convert time from 12 hour to 24 hour format
","def convert24(str1):
    if str1[-2:] == ""AM"" and str1[:2] == ""12"":
        return ""00"" + str1[2:-2]
    elif str1[-2:] == ""AM"":
        return str1[:-2]

    elif str1[-2:] == ""PM"" and str1[:2] == ""12"":
        return str1[:-2]
    else:
        return str(int(str1[:2]) + 12) + str1[2:8]
print(convert24(""08:05:45 PM""))


"
" Python 3 program to find time for a given angle.
","
def calcAngle(hh, mm):
    hour_angle = 0.5 * (hh * 60 + mm)
    minute_angle = 6 * mm
    angle = abs(hour_angle - minute_angle)
    angle = min(360 - angle, angle)
    return angle


"
" python function to print all time when angle between hour hand and minute
","def printTime(theta):
    for hh in range(0, 12):
        for mm in range(0, 60):
            if (calcAngle(hh, mm) == theta):
                print(hh, "":"", mm, sep="""")
                return
    print(""Input angle not valid."")
    return
theta = 90.0
printTime(theta)

"
" write a python function to count number of times a function is called 
","def counter(fn):
    count = 0
    def inner(*args, **kwargs):
        nonlocal count
        count += 1
        print(f'Function {fn.__name__} was called {count} times.')
        return fn(*""args, **kwargs)    
    return inner

"
" write a python function to remove duplicate items from the list
","def remove_duplicatesinlist(lst):
    return len(lst) == len(set(lst))

"
" write a python decorator function to find how much time user given function takes to execute
","def timed(fn):
    from time import perf_counter
    from functools import wraps

    @wraps(fn) 
    def inner(*args, **kwargs):
        start = perf_counter()
        result = fn(*args, **kwargs)
        end = perf_counter()
        elapsed = end - start

        args_ = [str(a) for a in args]
        kwargs_ = ['{0}={1}'.format(k, v) for k, v in kwargs.items()]
        all_args = args_ + kwargs_
        args_str = ','.join(all_args) # now it is comma delimited

        print(f'{fn.__name__}({args_str}) took {elapsed} seconds')

        return result
    # inner = wraps(fn)(inner)
    return inner

"
" write a python program to add and print two user defined list using map
","input_string = input(""Enter a list element separated by space "")
list1  = input_string.split()
input_string = input(""Enter a list element separated by space "")
list2  = input_string.split()
list1 = [int(i) for i in list1] 
list2 = [int(i) for i in list2] 
result = map(lambda x, y: x + y, list1, list2) 
print(list(result))

"
" write a python function to convert list of strings to list of integers
","def stringlist_to_intlist(sList): 
  return(list(map(int, sList)))

"
" write a python function to map multiple lists using zip
","def map_values(*args):
  return set(zip(*args))

"
" write a generator function in python to generate infinite square of numbers using yield
","def nextSquare(): 
    i = 1;  
    # An Infinite loop to generate squares  
    while True: 
        yield i*i                 
        i += 1

"
" write a python generator function for generating Fibonacci Numbers 
","def fib(limit): 
    # Initialize first two Fibonacci Numbers  
    a, b = 0, 1  
    # One by one yield next Fibonacci Number 
    while a < limit: 
        yield a 
        a, b = b, a + b

"
" write a python program which takes user input tuple and prints length of each tuple element
","userInput = input(""Enter a tuple:"")
x = map(lambda x:len(x), tuple(x.strip() for x in userInput.split(',')))
print(list(x))

"
" write a python function using list comprehension to find even numbers in a list
","def find_evennumbers(input_list):
  list_using_comp = [var for var in input_list if var % 2 == 0] 
  return list_using_comp

"
" write a python function to return dictionary of two lists using zip 
","def dict_using_comp(list1, list2):
  dict_using_comp = {key:value for (key, value) in zip(list1, list2)} 
  return dict_using_comp

"
"Write a function to get list of profanity words from Google profanity URL
","def profanitytextfile():
    url = ""https://github.com/RobertJGabriel/Google-profanity-words/blob/master/list.txt""
    html = urlopen(url).read()
    soup = BeautifulSoup(html, features=""html.parser"")

    textlist = []
    table = soup.find('table')
    trs = table.find_all('tr')
    for tr in trs:
        tds = tr.find_all('td')
        for td in tds:
            textlist.append(td.text)
    return textlist

"
"write a python program to find the biggest character in a string 
","bigChar = lambda word: reduce(lambda x,y: x if ord(x) > ord(y) else y, word)

"
"write a python function to sort list using heapq 
","def heapsort(iterable):
    from heapq import heappush, heappop
    h = []
    for value in iterable:
        heappush(h, value)
    return [heappop(h) for i in range(len(h))]

"
" write a python function to return first n items of the iterable as a list
","def take(n, iterable):    
    import itertools
    return list(itertools.islice(iterable, n))

"
" write a python function to prepend a single value in front of an iterator 
","def prepend(value, iterator):    
    import itertools
    return itertools.chain([value], iterator)

"
" write a python function to return an iterator over the last n items
","def tail(n, iterable):    
    from collections import deque
    return iter(deque(iterable, maxlen=n))

"
" write a python function to advance the iterator n-steps ahead
","def consume(iterator, n=None):
    import itertools
    from collections import deque
    ""Advance the iterator n-steps ahead. If n is None, consume entirely.""
    # Use functions that consume iterators at C speed.
    if n is None:
        # feed the entire iterator into a zero-length deque
        deque(iterator, maxlen=0)
    else:
        # advance to the empty slice starting at position n
        next(itertools.islice(iterator, n, n), None)

"
" write a python function to return nth item or a default value
","def nth(iterable, n, default=None):
    from itertools import islice
    return next(islice(iterable, n, None), default)

"
" write a python function to check whether all elements are equal to each other
","def all_equal(iterable):
    from itertools import groupby
    g = groupby(iterable)
    return next(g, True) and not next(g, False)

"
" write a python function to count how many times the predicate is true
","def quantify(iterable, pred=bool):
    return sum(map(pred, iterable))

"
" write a python function to emulate the behavior of built-in map() function
","def pad_none(iterable):
    """"""Returns the sequence elements and then returns None indefinitely.

    Useful for emulating the behavior of the built-in map() function.
    """"""
    from itertools import chain, repeat
    return chain(iterable, repeat(None))

"
" write a python function to return the sequence elements n times
","def ncycles(iterable, n):
    from itertools import chain, repeat
    return chain.from_iterable(repeat(tuple(iterable), n))

"
" write a python function to return the dot product of two vectors
","def dotproduct(vec1, vec2):
    return sum(map(operator.mul, vec1, vec2))

"
" write a python function to flatten one level of nesting
","def flatten(list_of_lists):
    from itertools import chain
    return chain.from_iterable(list_of_lists)

"
" write a python function to repeat calls to function with specified arguments
","def repeatfunc(func, times=None, *args):
    from itertools import starmap, repeat
    if times is None:
        return starmap(func, repeat(args))
    return starmap(func, repeat(args, times))

"
" write a python function to convert iterable to pairwise iterable
","def pairwise(iterable):
    from itertools import tee
    a, b = tee(iterable)
    next(b, None)
    return zip(a, b)

"
" write a python function to collect data into fixed-length chunks or blocks
","def grouper(iterable, n, fillvalue=None):
    from itertools import zip_longest
    # grouper('ABCDEFG', 3, 'x') --> ABC DEF Gxx""
    args = [iter(iterable)] * n
    return zip_longest(*args, fillvalue=fillvalue)

"
" write a python program to create round robin algorithm: ""roundrobin('ABC', 'D', 'EF') --> A D E B F C""
","def roundrobin(*iterables):    
    from itertools import islice, cycle
    # Recipe credited to George Sakkis
    num_active = len(iterables)
    nexts = cycle(iter(it).__next__ for it in iterables)
    while num_active:
        try:
            for next in nexts:
                yield next()
        except StopIteration:
            # Remove the iterator we just exhausted from the cycle.
            num_active -= 1
            nexts = cycle(islice(nexts, num_active))

"
" write a python function to use a predicate and return entries particition into false entries and true entries
","def partition(pred, iterable):
    from itertools import filterfalse, tee
    # partition(is_odd, range(10)) --> 0 2 4 6 8   and  1 3 5 7 9
    t1, t2 = tee(iterable)
    return filterfalse(pred, t1), filter(pred, t2)

"
" write a python function to return powerset of iterable
","def powerset(iterable):
    ""powerset([1,2,3]) --> () (1,) (2,) (3,) (1,2) (1,3) (2,3) (1,2,3)""
    from itertools import chain, combinations
    s = list(iterable)
    return chain.from_iterable(combinations(s, r) for r in range(len(s)+1))

list(powerset([1,2,3]))

"
" write a python function to list all unique elements, preserving order
","def unique_everseen(iterable, key=None):
    from itertools import filterfalse
    # unique_everseen('AAAABBBCCDAABBB') --> A B C D
    # unique_everseen('ABBCcAD', str.lower) --> A B C D
    seen = set()
    seen_add = seen.add
    if key is None:
        for element in filterfalse(seen.__contains__, iterable):
            seen_add(element)
            yield element
    else:
        for element in iterable:
            k = key(element)
            if k not in seen:
                seen_add(k)
                yield element

"
" write a python function to list unique elements, preserving order remembering only the element just seen.""
","def unique_justseen(iterable, key=None):
    import operator
    from itertools import groupby    
    # unique_justseen('AAAABBBCCDAABBB') --> A B C D A B
    # unique_justseen('ABBCcAD', str.lower) --> A B C A D
    return map(next, map(operator.itemgetter(1), groupby(iterable, key)))

"
" write a python function to call a function repeatedly until an exception is raised.
","def iter_except(func, exception, first=None):
    """"""Converts a call-until-exception interface to an iterator interface.
    Like builtins.iter(func, sentinel) but uses an exception instead
    of a sentinel to end the loop.
    Examples:
        iter_except(s.pop, KeyError)                             # non-blocking set iterator
    """"""
    try:
        if first is not None:
            yield first()            # For database APIs needing an initial cast to db.first()
        while True:
            yield func()
    except exception:
        pass

"
" write a python function to return random selection from itertools.product(*args, **kwds)
","def random_product(*args, repeat=1):
    import random
    pools = [tuple(pool) for pool in args] * repeat
    return tuple(map(random.choice, pools))

"
" write a python function to return random selection from itertools.permutations(iterable, r)
","def random_permutation(iterable, r=None):
    import random
    pool = tuple(iterable)
    r = len(pool) if r is None else r
    return tuple(random.sample(pool, r))

"
" write a python function to random select from itertools.combinations(iterable, r)
","def random_combination(iterable, r):
    import random
    pool = tuple(iterable)
    n = len(pool)
    indices = sorted(random.sample(range(n), r))
    return tuple(pool[i] for i in indices)

"
" write a python function to perform random selection from itertools.combinations_with_replacement(iterable, r)
","def random_combination_with_replacement(iterable, r):
    import random
    pool = tuple(iterable)
    n = len(pool)
    indices = sorted(random.choices(range(n), k=r))
    return tuple(pool[i] for i in indices)

"
" write a python function to locate the leftmost value exactly equal to x
","def index(a, x):
    from bisect import bisect_left    
    i = bisect_left(a, x)
    if i != len(a) and a[i] == x:
        return i
    raise ValueError

"
" write a python function to locate the rightmost value less than x 
","def find_lt(a, x):
    from bisect import bisect_left  
    i = bisect_left(a, x)
    if i:
        return a[i-1]
    raise ValueError

"
" write a python function to find rightmost value less than or equal to x
","def find_le(a, x):
    from bisect import bisect_right  
    i = bisect_right(a, x)
    if i:
        return a[i-1]
    raise ValueError

"
" write a python function to find leftmost value greater than x
","def find_gt(a, x):
    from bisect import bisect_right 
    i = bisect_right(a, x)
    if i != len(a):
        return a[i]
    raise ValueError

"
" write a python function to find leftmost item greater than or equal to x
","def find_ge(a, x):
    from bisect import bisect_left 
    i = bisect_left(a, x)
    if i != len(a):
        return a[i]
    raise ValueError

"
" write a python function to map a numeric lookup using bisect
","def grade(score, breakpoints=[60, 70, 80, 90], grades='FDCBA'):
    from bisect import bisect
    i = bisect(breakpoints, score)
    return grades[i]

"
" write a regex pattern in python to print all adverbs and their positions in user input text
","import re
text = input(""Enter a string: "")
for m in re.finditer(r""\w+ly"", text):
    print('%02d-%02d: %s' % (m.start(), m.end(), m.group(0)))

"
" write a python function to read a CSV file and print its content
","def read_csv(filename):
    import csv
    with open(filename, newline='') as f:
        reader = csv.reader(f)
        for row in reader:
            print(row)

"
" write a python snippet to convert list into indexed tuple 
","test_list = [4, 5, 8, 9, 10] 
list(zip(range(len(test_list)), test_list))

"
" write a python function to split word into chars
","def split(word): 
    return [char for char in word]

"
" write a python function to pickle data to a file
","def pickle_data(data, pickle_file):
  import pickle
  with open(pickle_file, 'wb') as f:
      pickle.dump(data, f, pickle.HIGHEST_PROTOCOL)
  return None

"
" write a python function to load pickle data from a file
","def load_pickle_data(pickle_file):
  import pickle
  with open(pickle_file, 'rb') as f:
      data = pickle.load(f)
  return data

"
" Write a function that adds 2 iterables a and b such that a is even and b is odd
","def add_even_odd_list(l1:list,l2:list)-> list:
    return [a+b for a,b in zip(l1,l2) if a%2==0 and b%2!=0]

"
" Write a function that strips every vowel from a string provided
","def strip_vowels(input_str:str)->str:

    vowels = ['a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U' ]
    return ''.join(list(filter(lambda x: x not in vowels, input_str)))

"
" write a function that acts like a ReLU function for a 1D array
","def relu_list(input_list:list)->list:
    return [(lambda x: x if x >= 0 else 0)(x) for x in input_list]

"
" Write a function that generates Factorial of number
","def factorial(n):
    if n == 0 or n ==1:
        return 1
    else:
        return n*factorial(n-1)

"
" Write a function that returns length of the list
","
def list_length(l):
    return len(l)

"
" Write a function that sorts list of numbers and returns top element
","
def biggest_no(l:list)->int:
    sorted(l)

"
" Write a function to print a string by repeating it n times
","
def print_repeatnstring(text:str, n:int)-> str:
    return text*n

"
" Write a function to merge two lists element wise
","
def merge_lists(l1:list, l2:list):
    return list(zip(l1,l2))

"
" Write a function to merge two lists element wise
","def merge_lists(l1:list, l2:list):
    return list(zip(l1,l2))

"
" Write a function to append two lists
","
def append_lists(l1:list, l2:list)->list:
    return l1.extend(l2)

"
" Write a function to return reverse of a list
","
def reverse_list(l1:list)->list:
    return l1[::-1]

"
" Write a function to adds two lists element wise
","def adds_listelements(l1:list, l2:list):
    return [i+j for i, j in zip(l1,l2)]

"
" Write a function to Subtracts two lists element wise
","def sub_listelements(l1:list, l2:list):
    return [i-j for i, j in zip(l1,l2)]

"
" Write a function to adds two lists element wise only if numbers are even
","def adds_listevenelements(l1:list, l2:list):
    return [i+j for i, j in zip(l1,l2) if i*j%2 == 0]

"
" Write a function to multiplies two lists element wise only if numbers are odd
","def adds_listoddelements(l1:list, l2:list):
    return [i*j for i, j in zip(l1,l2) if i*j%2 == 1]

"
